agency_name,response_count,agency_name_display,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams
spot to talk,9,Spot To Talk,helped:3 | learning:3 | community:3 | real:2 | safety:2 | planning:2 | case:2 | management:2 | building:2 | practice:2 | meetings:2 | partnerships:2 | clinical:2 | found:1 | life:1 | application:1 | therapeutic:1 | modalities:1 | beneficial:1 | enjoyed:1,safety planning:2 | case management:2 | community partnerships:2 | found real:1 | real life:1 | life application:1 | application therapeutic:1 | therapeutic modalities:1 | modalities beneficial:1 | beneficial enjoyed:1 | enjoyed taking:1 | taking supervision:1 | supervision gaining:1 | gaining insight:1 | insight better:1,nothing:2 | hardest:2 | workflow:2 | changed:2 | quickly:2 | planning:2 | harder:2 | scheduling:2 | negative:1 | report:1 | structure:1 | uneven:1 | early:1 | travel:1 | across:1 | sites:1 | reduced:1 | available:1 | supervision:1 | debriefing:1,hardest workflow:2 | workflow changed:2 | changed quickly:2 | quickly planning:2 | planning harder:2 | nothing negative:1 | negative report:1 | structure uneven:1 | uneven early:1 | travel scheduling:1 | scheduling across:1 | across sites:1 | sites reduced:1 | reduced available:1 | available supervision:1
spotted bull recovery resource center,7,Spotted Bull Recovery Resource Center,work:3 | like:2 | connect:2 | practice:2 | able:2 | case:2 | support:2 | planning:2 | connected:2 | supervision:2 | placement:1 | gave:1 | room:1 | grow:1 | coursework:1 | real:1 | systems:1 | level:1 | meetings:1 | helped:1,like placement:1 | placement gave:1 | gave room:1 | room grow:1 | grow connect:1 | connect coursework:1 | coursework practice:1 | practice real:1 | real systems:1 | systems level:1 | level meetings:1 | meetings helped:1 | helped understand:1 | understand decisions:1 | decisions affect:1,committee:1 | work:1 | abstract:1 | early:1 | everything:1 | beneficial:1 | student:1 | role:1 | structured:1 | scheduling:1 | difficult:1 | times:1 | follow:1 | cases:1 | longer:1 | rather:1 | than:1 | seeing:1 | short:1 | term:1,committee work:1 | work abstract:1 | abstract early:1 | everything beneficial:1 | student role:1 | role structured:1 | scheduling difficult:1 | difficult times:1 | follow cases:1 | cases longer:1 | longer rather:1 | rather than:1 | than seeing:1 | seeing short:1 | short term:1
st. patrick hospital,41,St. Patrick Hospital,helped:13 | practice:13 | work:8 | systems:8 | planning:7 | learning:7 | meetings:7 | social:5 | team:5 | support:5 | care:5 | confidence:5 | direct:5 | opportunities:5 | appreciated:4 | feedback:4 | skills:4 | advocacy:4 | rapport:4 | experience:4,chart review:3 | helped work:3 | connect class:3 | class content:3 | content practice:3 | interdisciplinary team:3 | build confidence:3 | direct practice:3 | helped understand:3 | rapport building:3 | social workers:2 | helped included:2 | safety planning:2 | real exposure:2 | discharge planning:2,practice:10 | work:6 | wanted:6 | one:5 | direct:5 | instead:5 | frustration:4 | mostly:4 | observation:4 | hardest:4 | enough:4 | hands:4 | shadowing:4 | placement:4 | times:4 | harder:3 | needed:3 | too:3 | chances:3 | skills:3,wanted direct:4 | direct practice:4 | practice instead:4 | instead mostly:4 | mostly observation:4 | hardest wanted:2 | too admin:2 | admin work:2 | shadowing needed:2 | liked consistency:2 | consistency early:2 | changed quickly:2 | work valuable:1 | valuable emotionally:1 | emotionally intense:1
standing together against rape (star),9,Standing Together Against Rape (Star),learning:5 | practice:3 | work:3 | helped:3 | crisis:3 | assessment:2 | intervention:2 | included:2 | support:2 | mobile:2 | outreach:2 | observing:2 | opportunities:2 | debriefing:2 | legal:2 | strongest:1 | came:1 | rapport:1 | building:1 | active:1,mobile outreach:2 | strongest learning:1 | learning came:1 | came rapport:1 | rapport building:1 | building active:1 | active listening:1 | listening real:1 | real practice:1 | practice situations:1 | situations see:1 | see assessment:1 | assessment intervention:1 | intervention evaluation:1 | evaluation work:1,supervision:3 | consistent:2 | week:2 | work:2 | enough:2 | too:2 | slow:2 | didn:2 | travel:1 | scheduling:1 | across:1 | sites:1 | reduced:1 | available:1 | debriefing:1 | documentation:1 | burden:1 | heavy:1 | limited:1 | opportunities:1,supervision consistent:2 | travel scheduling:1 | scheduling across:1 | across sites:1 | sites reduced:1 | reduced available:1 | available supervision:1 | supervision debriefing:1 | consistent week:1 | week week:1 | documentation burden:1 | burden heavy:1 | heavy limited:1 | limited opportunities:1 | opportunities direct:1
stepping stones,11,Stepping Stones,see:4 | support:3 | practicum:3 | work:3 | questions:2 | experiences:2 | opportunity:2 | included:2 | resource:2 | documentation:2 | instead:2 | observing:2 | learning:2 | intervention:2 | planning:2 | appreciated:2 | helped:2 | practice:2 | having:1 | unparalleled:1,having unparalleled:1 | unparalleled support:1 | support regards:1 | regards questions:1 | questions needing:1 | needing answered:1 | answered whether:1 | whether ethical:1 | ethical questions:1 | questions support:1 | support clinician:1 | clinician language:1 | language lingo:1 | lingo advice:1 | advice regarding:1,than:3 | helping:2 | work:2 | need:2 | process:2 | think:2 | ssbh:2 | learning:2 | weeks:2 | observational:2 | active:2 | fewer:2 | honestly:1 | program:1 | director:1 | guiding:1 | training:1 | certain:1 | send:1 | inpatient:1,weeks observational:2 | observational than:2 | than active:2 | honestly program:1 | program director:1 | director guiding:1 | guiding training:1 | training certain:1 | certain helping:1 | helping send:1 | send inpatient:1 | inpatient applications:1 | applications patients:1 | patients rois:1 | rois expects:1
student advocacy resource center,32,Student Advocacy Resource Center,work:11 | helped:9 | support:9 | appreciated:8 | practice:8 | resource:5 | case:5 | confidence:5 | biggest:5 | help:5 | clients:5 | able:5 | assessment:5 | management:4 | build:4 | systems:4 | learning:4 | instead:4 | learn:3 | crisis:3,case management:4 | helped build:4 | build confidence:4 | resource linkage:2 | helped work:2 | work resource:2 | resource navigation:2 | navigation case:2 | help work:2 | safety planning:2 | support groups:2 | strengths perspective:2 | direct practice:2 | brought systems:2 | instead doing:2,practice:6 | needed:6 | tasks:5 | went:4 | paperwork:4 | instead:4 | actual:4 | role:4 | first:4 | clients:4 | one:3 | frustration:3 | expectations:3 | learning:3 | than:3 | too:3 | client:3 | contact:3 | fewer:3 | office:3,went paperwork:4 | paperwork instead:4 | instead actual:4 | actual practice:4 | client contact:3 | contact fewer:3 | fewer office:3 | office tasks:3 | shadowing needed:3 | frustration went:2 | practicum reactive:2 | reactive than:2 | first step:2 | hardest went:1 | practice hard:1
summit independent living,5,Summit Independent Living,work:3 | support:3 | practice:2 | resource:2 | helped:2 | research:1 | showed:1 | social:1 | knowledge:1 | inform:1 | policy:1 | program:1 | development:1 | able:1 | facilitate:1 | groups:1 | wanting:1 | start:1 | quite:1 | crisis:1,research practice:1 | practice showed:1 | showed social:1 | social work:1 | work knowledge:1 | knowledge inform:1 | inform policy:1 | policy program:1 | program development:1 | able facilitate:1 | facilitate support:1 | support groups:1 | groups wanting:1 | wanting start:1 | start quite:1,one:3 | direct:2 | practice:2 | contact:2 | placement:1 | strong:1 | systems:1 | work:1 | offered:1 | less:1 | experience:1 | little:1 | clients:1 | frustration:1 | needed:1 | client:1 | fewer:1 | office:1 | tasks:1 | practicum:1,direct practice:2 | placement strong:1 | strong systems:1 | systems work:1 | work offered:1 | offered less:1 | less direct:1 | practice experience:1 | little one:1 | one one:1 | one contact:1 | contact clients:1 | frustration needed:1 | client contact:1 | contact fewer:1
symmetry counseling,3,Symmetry Counseling,meetings:2 | work:2 | biggest:1 | help:1 | clients:1 | tasks:1 | committee:1 | coalition:1 | taught:1 | than:1 | structure:1 | supervision:1 | received:1 | opportunities:1 | learn:1 | ethical:1 | trauma:1 | informed:1 | principles:1 | helped:1,help clients:1 | clients tasks:1 | tasks committee:1 | committee meetings:1 | meetings coalition:1 | coalition work:1 | work taught:1 | taught than:1 | than structure:1 | supervision received:1 | received opportunities:1 | opportunities learn:1 | learn ethical:1 | ethical trauma:1 | trauma informed:1,went:1 | paperwork:1 | instead:1 | actual:1 | practice:1 | practicum:1 | reactive:1 | than:1 | educational:1 | hate:1 | miss:1 | attending:1 | provider:1 | meetings:1 | live:1 | enjoyed:1 | watching:1 | recordings:1 | following:1 | needed:1,went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | practice practicum:1 | practicum reactive:1 | reactive than:1 | than educational:1 | hate miss:1 | miss attending:1 | attending provider:1 | provider meetings:1 | meetings live:1 | live enjoyed:1 | enjoyed watching:1
the hope wellness center,9,The Hope Wellness Center,practice:5 | documentation:4 | learning:3 | feedback:3 | direct:3 | coordination:3 | appreciated:2 | work:2 | enough:2 | structure:2 | client:2 | build:2 | skills:2 | confidence:2 | gave:2 | parent:1 | coaching:1 | home:1 | visits:1 | connect:1,direct practice:2 | appreciated work:1 | work parent:1 | parent coaching:1 | coaching documentation:1 | documentation home:1 | home visits:1 | visits connect:1 | connect class:1 | class content:1 | content practice:1 | learning potential:1 | potential hiccups:1 | hiccups ups:1 | ups downs:1,practice:3 | liked:2 | needed:2 | one:2 | frustration:2 | hardest:1 | went:1 | paperwork:1 | instead:1 | actual:1 | disconnect:1 | canadian:1 | american:1 | governing:1 | agencies:1 | standards:1 | bit:1 | confusing:1 | too:1 | allowed:1,hardest went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | disconnect canadian:1 | canadian american:1 | american governing:1 | governing agencies:1 | agencies standards:1 | standards practice:1 | practice bit:1 | bit confusing:1 | confusing too:1 | too allowed:1
the parenting place,6,The Parenting Place,helped:4 | practice:4 | learning:3 | work:3 | support:2 | direct:2 | tasks:2 | wanted:2 | clearer:2 | issues:1 | site:1 | learned:1 | brief:1 | solution:1 | focused:1 | sessions:1 | attendance:1 | enough:1 | experience:1 | mostly:1,direct practice:2 | helped issues:1 | site learned:1 | learned brief:1 | brief solution:1 | solution focused:1 | focused sessions:1 | sessions attendance:1 | attendance support:1 | enough direct:1 | practice experience:1 | experience mostly:1 | mostly shadowed:1 | shadowed admin:1 | admin tasks:1,liked:2 | went:1 | paperwork:1 | instead:1 | actual:1 | practice:1 | inconsistent:1 | supervision:1 | slow:1 | periods:1 | fewer:1 | tasks:1 | heavy:1 | caseload:1 | harder:1 | receive:1 | feedback:1 | consistency:1 | early:1 | limited:1,went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | inconsistent supervision:1 | supervision slow:1 | slow periods:1 | periods fewer:1 | fewer tasks:1 | heavy caseload:1 | caseload harder:1 | harder receive:1 | receive feedback:1 | feedback liked:1 | liked consistency:1
the refuge,9,The Refuge,work:5 | planning:4 | confidence:4 | helped:4 | elein:4 | support:3 | practicum:3 | supervision:2 | supported:2 | across:2 | staff:2 | build:2 | community:2 | gave:2 | clinical:2 | team:2 | appreciated:1 | real:1 | exposure:1 | case:1,helped build:2 | build confidence:2 | elein gave:2 | appreciated real:1 | real exposure:1 | exposure case:1 | case management:1 | management safety:1 | safety planning:1 | quality supervision:1 | supervision big:1 | big difference:1 | difference confident:1 | confident supported:1 | supported strengthened:1,practice:3 | needed:2 | client:2 | nothing:2 | went:1 | paperwork:1 | instead:1 | actual:1 | limited:1 | person:1 | observation:1 | staff:1 | real:1 | times:1 | expectations:1 | clear:1 | hardest:1 | wanted:1 | little:1 | independent:1,went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | limited person:1 | person observation:1 | observation staff:1 | staff real:1 | real practice:1 | times expectations:1 | expectations clear:1 | hardest wanted:1 | wanted little:1 | little independent:1 | independent practice:1
the salvation army,5,The Salvation Army,helped:3 | real:2 | work:2 | support:2 | build:2 | confidence:2 | supervision:1 | linked:1 | theory:1 | ethics:1 | case:1 | discussion:1 | reinforced:1 | person:1 | environment:1 | perspective:1 | say:1 | able:1 | practice:1 | interpersonal:1,helped build:2 | build confidence:2 | supervision linked:1 | linked theory:1 | theory ethics:1 | ethics real:1 | real case:1 | case discussion:1 | discussion reinforced:1 | reinforced person:1 | person environment:1 | environment perspective:1 | say able:1 | able practice:1 | practice interpersonal:1,practice:3 | too:3 | admin:2 | work:2 | enough:2 | hands:2 | managing:1 | virtual:1 | platforms:1 | documentation:1 | across:1 | systems:1 | able:1 | professional:1 | skills:1 | amongst:1 | professionals:1 | conflict:1 | classes:1 | weekly:1,too admin:2 | admin work:2 | managing virtual:1 | virtual platforms:1 | platforms documentation:1 | documentation across:1 | across systems:1 | able practice:1 | practice professional:1 | professional skills:1 | skills amongst:1 | amongst professionals:1 | professionals conflict:1 | conflict classes:1 | classes weekly:1
the village,3,The Village,staff:2 | biggest:1 | help:1 | work:1 | cps:1 | coordination:1 | documentation:1 | helped:1 | build:1 | confidence:1 | appreciated:1 | real:1 | exposure:1 | health:1 | fairs:1 | community:1 | assessments:1 | learning:1 | agreement:1 | less:1,help work:1 | work cps:1 | cps coordination:1 | coordination documentation:1 | documentation helped:1 | helped build:1 | build confidence:1 | appreciated real:1 | real exposure:1 | exposure health:1 | health fairs:1 | fairs community:1 | community assessments:1 | assessments learning:1 | learning agreement:1,one:1 | frustration:1 | check:1 | ins:1 | steady:1 | enough:1 | amount:1 | responsibility:1 | needed:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | nothing:1 | report:1,frustration check:1 | check ins:1 | ins steady:1 | steady enough:1 | enough amount:1 | amount responsibility:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | nothing report:1
the webb schools,6,The Webb Schools,one:4 | doing:3 | support:3 | biggest:2 | help:2 | brought:2 | instead:2 | tasks:2 | appreciated:2 | learn:2 | debrief:2 | counseling:2 | supervision:1 | melanie:1 | eric:1 | provided:1 | extremely:1 | showed:1 | genuine:1 | interest:1,one one:2 | help brought:2 | instead doing:2 | doing support:2 | support tasks:2 | appreciated learn:2 | one supervision:1 | supervision melanie:1 | melanie eric:1 | eric provided:1 | provided extremely:1 | extremely showed:1 | showed genuine:1 | genuine interest:1 | interest helping:1,msw:2 | wish:2 | one:2 | frustration:2 | wanted:2 | practice:2 | hardest:2 | experience:2 | didn:1 | natural:1 | opportunities:1 | diagnostic:1 | work:1 | structure:1 | counseling:1 | center:1 | meant:1 | intentional:1 | supervisor:1 | scheduling:1,didn natural:1 | natural opportunities:1 | opportunities diagnostic:1 | diagnostic work:1 | work structure:1 | structure counseling:1 | counseling center:1 | center meant:1 | meant intentional:1 | intentional msw:1 | msw supervisor:1 | supervisor scheduling:1 | scheduling over:1 | over dsm:1 | dsm wish:1
thrive,6,Thrive,meetings:3 | appreciated:2 | included:2 | planning:2 | instead:2 | observing:2 | honestly:2 | stakeholder:2 | support:2 | practicum:2 | supervision:2 | chart:1 | review:1 | discharge:1 | meaningful:1 | learn:1 | advocacy:1 | policy:1 | research:1 | debrief:1,appreciated included:2 | stakeholder meetings:2 | included chart:1 | chart review:1 | review discharge:1 | discharge planning:1 | planning instead:1 | observing meaningful:1 | honestly learn:1 | learn stakeholder:1 | meetings advocacy:1 | advocacy planning:1 | planning policy:1 | policy research:1 | research debrief:1,practice:3 | instead:3 | wanted:2 | direct:2 | mostly:2 | observation:2 | practicum:2 | hard:1 | grow:1 | structure:1 | loose:1 | one:1 | frustration:1 | went:1 | paperwork:1 | actual:1 | finding:1 | portion:1 | unhelpful:1 | shadowing:1,wanted direct:2 | direct practice:2 | practice instead:2 | instead mostly:2 | mostly observation:2 | observation hard:1 | hard grow:1 | grow structure:1 | structure loose:1 | frustration went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | finding portion:1
"timberline counseling, llc",4,"Timberline Counseling, Llc",real:2 | work:2 | systems:2 | meetings:2 | counselor:1 | able:1 | put:1 | learning:1 | school:1 | msw:1 | mentor:1 | actually:1 | use:1 | sessions:1 | see:1 | processes:1 | play:1 | out:1 | life:1 | learned:1,counselor able:1 | able put:1 | put learning:1 | learning school:1 | school msw:1 | msw mentor:1 | mentor actually:1 | actually use:1 | use real:1 | real sessions:1 | sessions see:1 | see processes:1 | processes play:1 | play out:1 | out real:1,practicum:2 | second:1 | like:1 | super:1 | lucky:1 | classify:1 | first:1 | lack:1 | support:1 | boss:1 | documentation:1 | important:1 | occasionally:1 | overshadowed:1 | client:1 | interaction:1 | needed:1 | context:1 | systems:1 | level:1,second practicum:1 | practicum like:1 | like super:1 | super lucky:1 | lucky classify:1 | classify first:1 | first practicum:1 | practicum lack:1 | lack support:1 | support boss:1 | documentation important:1 | important occasionally:1 | occasionally overshadowed:1 | overshadowed client:1 | client interaction:1
trailhead therapy & mentoring,3,Trailhead Therapy & Mentoring,direct:2 | practice:2 | family:1 | systems:1 | thinking:1 | helped:1 | understand:1 | broader:1 | context:1 | assessment:1 | support:1 | planning:1 | client:1 | contact:1 | evidence:1 | based:1 | intervention:1 | learned:1 | feedback:1 | connect:1,family systems:1 | systems thinking:1 | thinking helped:1 | helped understand:1 | understand broader:1 | broader context:1 | context assessment:1 | assessment support:1 | support planning:1 | direct client:1 | client contact:1 | contact evidence:1 | evidence based:1 | based intervention:1 | learned direct:1,documentation:1 | repetitive:1 | took:1 | away:1 | direct:1 | learning:1 | little:1 | opportunities:1 | policy:1 | change:1 | implementation:1 | first:1 | weeks:1 | unstructured:1,documentation repetitive:1 | repetitive took:1 | took away:1 | away direct:1 | direct learning:1 | little opportunities:1 | opportunities policy:1 | policy change:1 | change implementation:1 | first weeks:1 | weeks unstructured:1
tri-valley haven,4,Tri-Valley Haven,consistent:2 | learn:2 | planning:2 | debrief:2 | ability:1 | feedback:1 | manner:1 | incredibly:1 | supervision:1 | able:1 | work:1 | clients:1 | feeling:1 | supported:1 | direct:1 | practice:1 | debriefing:1 | client:1 | interactions:1 | biggest:1,ability feedback:1 | feedback consistent:1 | consistent manner:1 | manner incredibly:1 | supervision consistent:1 | consistent able:1 | able work:1 | work clients:1 | clients feeling:1 | feeling supported:1 | supported direct:1 | direct practice:1 | practice debriefing:1 | debriefing client:1 | client interactions:1,times:2 | social:2 | work:2 | too:2 | busy:1 | difficult:1 | slow:1 | down:1 | look:1 | principals:1 | use:1 | like:1 | able:1 | areas:1 | importance:1 | worker:1 | onboarding:1 | process:1 | clearer:1 | hardest:1,times busy:1 | busy difficult:1 | difficult slow:1 | slow down:1 | down look:1 | look social:1 | social work:1 | work principals:1 | principals use:1 | use like:1 | like able:1 | able work:1 | work areas:1 | areas importance:1 | importance social:1
trillium family services,4,Trillium Family Services,like:2 | community:2 | helped:2 | meetings:2 | strong:1 | support:1 | staff:1 | welcoming:1 | treated:1 | team:1 | appreciated:1 | exposure:1 | policy:1 | discussions:1 | partnerships:1 | based:1 | research:1 | think:1 | collaboration:1 | stakeholder:1,strong support:1 | support staff:1 | staff welcoming:1 | welcoming treated:1 | treated like:1 | like team:1 | team appreciated:1 | appreciated exposure:1 | exposure policy:1 | policy discussions:1 | discussions community:1 | community partnerships:1 | community based:1 | based research:1 | research helped:1,slow:1 | periods:1 | fewer:1 | tasks:1 | limited:1 | client:1 | interaction:1 | funding:1 | challenges:1 | changed:1 | program:1 | structure:1 | scheduling:1 | difficult:1 | times:1,slow periods:1 | periods fewer:1 | fewer tasks:1 | limited client:1 | client interaction:1 | funding challenges:1 | challenges changed:1 | changed program:1 | program structure:1 | scheduling difficult:1 | difficult times:1
trio student support services,15,Trio Student Support Services,practice:9 | work:6 | support:5 | learning:4 | real:3 | exposure:3 | experience:3 | community:3 | connected:3 | tasks:3 | appreciated:3 | helped:3 | coordination:3 | social:2 | direct:2 | students:2 | staff:2 | partnerships:2 | perspective:2 | one:2,real exposure:2 | experience learning:2 | community partnerships:2 | exposure coalition:1 | coalition work:1 | work stakeholder:1 | stakeholder meetings:1 | integration work:1 | work experience:1 | having opportunity:1 | opportunity practice:1 | practice social:1 | social work:1 | work skills:1 | skills direct:1,work:4 | practice:3 | hardest:2 | quickly:2 | weeks:2 | times:2 | learning:2 | went:2 | paperwork:2 | instead:2 | actual:2 | too:1 | admin:1 | enough:1 | hands:1 | retrospect:1 | chosen:1 | site:1 | msw:1 | staff:1,went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | hardest too:1 | too admin:1 | admin work:1 | retrospect chosen:1 | chosen site:1 | site msw:1 | msw staff:1 | staff gained:1 | gained knowledge:1 | knowledge helping:1 | helping individuals:1
trotting horse therapeutic riding,4,Trotting Horse Therapeutic Riding,appreciated:1 | issues:1 | site:1 | learned:1 | documentation:1 | group:1 | activities:1 | life:1 | skills:1 | coaching:1 | best:1 | exposure:1 | referrals:1 | working:1 | staff:1 | willing:1 | answer:1 | questions:1 | person:1 | experience:1,appreciated issues:1 | site learned:1 | learned documentation:1 | documentation group:1 | group activities:1 | activities life:1 | life skills:1 | skills coaching:1 | best exposure:1 | exposure referrals:1 | referrals working:1 | working staff:1 | staff willing:1 | willing answer:1 | answer questions:1,wanted:2 | practice:2 | hardest:1 | direct:1 | instead:1 | mostly:1 | observation:1 | practicum:1 | reactive:1 | than:1 | educational:1 | chances:1 | independently:1 | first:1 | student:1 | needed:1 | client:1 | contact:1 | fewer:1 | office:1,hardest wanted:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | observation practicum:1 | practicum reactive:1 | reactive than:1 | than educational:1 | wanted chances:1 | chances practice:1 | practice independently:1 | first student:1 | client contact:1
turning winds,6,Turning Winds,support:3 | feedback:3 | enough:2 | direct:2 | practice:2 | learned:2 | work:2 | group:2 | having:2 | difference:2 | learning:1 | came:1 | crisis:1 | calls:1 | active:1 | listening:1 | reflection:1 | documentation:1 | mattered:1 | helped:1,direct practice:2 | learning came:1 | came crisis:1 | crisis calls:1 | calls active:1 | active listening:1 | listening reflection:1 | reflection documentation:1 | documentation mattered:1 | helped brought:1 | brought systems:1 | systems advocacy:1 | advocacy instead:1 | instead doing:1 | doing support:1,practicum:3 | actual:2 | supervisor:2 | fewer:1 | opportunities:1 | observe:1 | experienced:1 | practitioners:1 | live:1 | hardest:1 | hard:1 | knowing:1 | meeting:1 | expectations:1 | inconsistent:1 | supervision:1 | first:1 | weeks:1 | unstructured:1 | scheduling:1,fewer opportunities:1 | opportunities observe:1 | observe experienced:1 | experienced practitioners:1 | practitioners live:1 | hardest hard:1 | hard knowing:1 | knowing meeting:1 | meeting expectations:1 | inconsistent supervision:1 | supervision first:1 | first weeks:1 | weeks unstructured:1 | scheduling difficult:1 | difficult times:1
u.s. marshals service,3,U.S. Marshals Service,able:3 | work:2 | educational:2 | appreciated:1 | real:1 | exposure:1 | resource:1 | education:1 | partnership:1 | meetings:1 | biggest:1 | help:1 | program:1 | planning:1 | care:1 | navigation:1 | helped:1 | build:1 | confidence:1 | practicum:1,appreciated real:1 | real exposure:1 | exposure resource:1 | resource education:1 | education partnership:1 | partnership meetings:1 | help work:1 | work program:1 | program planning:1 | planning care:1 | care navigation:1 | navigation helped:1 | helped build:1 | build confidence:1 | practicum agency:1,everything:2 | participated:2 | wanted:1 | direct:1 | practice:1 | instead:1 | mostly:1 | observation:1 | honestly:1 | hardest:1 | expectations:1 | clear:1 | start:1 | practicum:1 | agency:1 | educational:1 | allowed:1 | improve:1 | knowledge:1 | skills:1,everything participated:2 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | honestly hardest:1 | hardest expectations:1 | expectations clear:1 | clear start:1 | practicum agency:1 | agency everything:1 | participated educational:1 | educational everything:1 | participated allowed:1
united way of the lewis and clark area,6,United Way Of The Lewis And Clark Area,unsheltered:3 | case:2 | biggest:2 | help:2 | work:2 | systems:2 | experience:2 | hmis:2 | planning:2 | resource:2 | exposure:2 | new:2 | appreciated:1 | learn:1 | documentation:1 | management:1 | home:1 | visits:1 | debrief:1 | health:1,planning resource:2 | appreciated learn:1 | learn documentation:1 | documentation case:1 | case management:1 | management home:1 | home visits:1 | visits debrief:1 | help work:1 | work health:1 | health fairs:1 | fairs care:1 | care navigation:1 | navigation connect:1 | connect class:1,one:4 | practice:3 | limited:2 | direct:2 | found:2 | experience:2 | work:2 | skills:2 | micro:2 | frustration:1 | hard:1 | knowing:1 | meeting:1 | expectations:1 | went:1 | paperwork:1 | instead:1 | actual:1 | mostly:1 | shadowing:1,frustration hard:1 | hard knowing:1 | knowing meeting:1 | meeting expectations:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | mostly shadowing:1 | shadowing limited:1 | limited direct:1 | direct practice:1 | practice inconsistent:1 | inconsistent supervision:1 | one found:1
university of phoenix,5,University Of Phoenix,work:3 | helped:2 | taught:2 | hospital:1 | rounds:1 | chart:1 | review:1 | build:1 | confidence:1 | resource:1 | linkage:1 | translate:1 | assessment:1 | practical:1 | support:1 | appreciated:1 | clients:1 | tasks:1 | health:1 | fairs:1,work hospital:1 | hospital rounds:1 | rounds chart:1 | chart review:1 | review helped:1 | helped build:1 | build confidence:1 | resource linkage:1 | linkage taught:1 | taught translate:1 | translate assessment:1 | assessment practical:1 | practical support:1 | appreciated clients:1 | clients tasks:1,needed:2 | client:2 | contact:2 | fewer:2 | office:2 | tasks:2 | practicum:2 | projects:1 | shifted:1 | fully:1 | developed:1 | one:1 | frustration:1 | went:1 | paperwork:1 | instead:1 | actual:1 | practice:1 | hard:1 | grow:1,client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | projects shifted:1 | shifted fully:1 | fully developed:1 | frustration went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | practice hard:1 | hard grow:1 | grow structure:1
valley cities behavioral health care,4,Valley Cities Behavioral Health Care,learning:4 | work:3 | agreement:2 | practice:2 | tasks:2 | supervision:1 | inconsistent:1 | affected:1 | used:1 | wanted:1 | defined:1 | clearer:1 | goals:1 | flexibility:1 | given:1 | able:1 | within:1 | sud:1 | program:1 | allowed:1,learning agreement:2 | supervision inconsistent:1 | inconsistent affected:1 | affected learning:1 | learning learning:1 | agreement used:1 | used practice:1 | practice wanted:1 | wanted defined:1 | defined tasks:1 | tasks clearer:1 | clearer learning:1 | learning goals:1 | flexibility given:1 | given able:1,work:2 | full:2 | hardest:2 | practice:2 | inconsistent:1 | supervision:1 | onboarding:1 | process:1 | clearer:1 | inconsistency:1 | amount:1 | available:1 | due:1 | population:1 | working:1 | days:1 | shows:1 | others:1 | consistent:1 | appointments:1,inconsistent supervision:1 | supervision onboarding:1 | onboarding process:1 | process clearer:1 | inconsistency amount:1 | amount work:1 | work available:1 | available due:1 | due population:1 | population working:1 | working days:1 | days full:1 | full shows:1 | shows others:1 | others full:1
victim services program,3,Victim Services Program,valued:1 | learning:1 | community:1 | organization:1 | capacity:1 | building:1 | create:1 | change:1 | beyond:1 | individual:1 | cases:1 | helped:1 | apply:1 | strengths:1 | perspective:1 | practice:1 | brought:1 | systems:1 | advocacy:1 | instead:1,valued learning:1 | learning community:1 | community organization:1 | organization capacity:1 | capacity building:1 | building create:1 | create change:1 | change beyond:1 | beyond individual:1 | individual cases:1 | cases helped:1 | helped apply:1 | apply strengths:1 | strengths perspective:1 | perspective practice:1,opportunities:2 | benefited:1 | clearer:1 | orientation:1 | defined:1 | project:1 | timelines:1 | hardest:1 | workflow:1 | changed:1 | quickly:1 | planning:1 | harder:1 | guess:1 | appreciated:1 | larger:1 | variety:1 | clinical:1,benefited clearer:1 | clearer orientation:1 | orientation defined:1 | defined project:1 | project timelines:1 | hardest workflow:1 | workflow changed:1 | changed quickly:1 | quickly planning:1 | planning harder:1 | guess appreciated:1 | appreciated opportunities:1 | opportunities larger:1 | larger variety:1 | variety clinical:1
