agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recent_placement_score,fit_trend,mean_response_length,recommendation_rate,overall_sentiment_score,mean_competency_score,concern_indicator_count,concern_flag,misalignment_flag,most_helpful_polarity,least_helpful_polarity,strong_supervision_helpful_pct,strong_supervision_least_pct,direct_practice_opportunity_helpful_pct,direct_practice_opportunity_least_pct,administrative_overload_helpful_pct,administrative_overload_least_pct,organizational_structure_helpful_pct,organizational_structure_least_pct,learning_environment_helpful_pct,learning_environment_least_pct,social_justice_alignment_helpful_pct,social_justice_alignment_least_pct,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,felt_prepared,learning_goals_met,prepared_for_practice,supervision_frequency,supervision_quality,comments_supervisor_polarity,other_comments_polarity,recommend_reason_polarity,agency_competency_1_mean,agency_competency_2_mean,agency_competency_3_mean,agency_competency_4_mean,agency_competency_5_mean,agency_competency_6_mean,agency_competency_7_mean,agency_competency_8_mean,agency_competency_9_mean
university of phoenix,University Of Phoenix,5,sufficient,3.12,2.2,declining,17.6,0.2,0.1923,91.51,3,review recommended,no flag,0.3921,-0.1993,0.0,0.0,20.0,40.0,0.0,60.0,20.0,20.0,60.0,20.0,0.0,0.0,work:3 | helped:2 | taught:2 | hospital:1 | rounds:1 | chart:1 | review:1 | build:1 | confidence:1 | resource:1 | linkage:1 | translate:1 | assessment:1 | practical:1 | support:1 | appreciated:1 | clients:1 | tasks:1 | health:1 | fairs:1,work hospital:1 | hospital rounds:1 | rounds chart:1 | chart review:1 | review helped:1 | helped build:1 | build confidence:1 | resource linkage:1 | linkage taught:1 | taught translate:1 | translate assessment:1 | assessment practical:1 | practical support:1 | appreciated clients:1 | clients tasks:1,needed:2 | client:2 | contact:2 | fewer:2 | office:2 | tasks:2 | practicum:2 | projects:1 | shifted:1 | fully:1 | developed:1 | frustration:1 | went:1 | paperwork:1 | instead:1 | actual:1 | practice:1 | hard:1 | grow:1 | structure:1,client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | projects shifted:1 | shifted fully:1 | fully developed:1 | frustration went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | practice hard:1 | hard grow:1 | grow structure:1,3.4,3.4,3.4,3.2,3.4,3.2,3.2,3.4,2.6,3.0,3.2,2.4,4.2,2.8,0.2367,0.5883,-0.0564,89.81,91.03,91.01,92.95,91.28,90.58,94.33,92.24,90.41
sexual trauma awareness and response,Sexual Trauma Awareness And Response,3,sufficient,3.13,,stable,21.3,0.67,0.2828,91.94,3,review recommended,no flag,0.6021,-0.2576,33.3,33.3,33.3,33.3,0.0,33.3,33.3,33.3,33.3,33.3,33.3,0.0,internship:2 | interactions:2 | good:1 | people:1 | uneven:1 | experience:1 | agency:1 | gave:1 | opportunities:1 | learn:1 | across:1 | board:1 | offered:1 | consistent:1 | honest:1 | support:1 | feedback:1 | chose:1 | counseling:1 | push:1,good people:1 | people uneven:1 | uneven experience:1 | agency gave:1 | gave opportunities:1 | opportunities learn:1 | learn across:1 | across board:1 | board offered:1 | offered consistent:1 | consistent honest:1 | honest support:1 | support feedback:1 | feedback chose:1 | chose counseling:1,clients:2 | wanted:1 | consistency:1 | across:1 | supervisors:1 | like:1 | agencies:1 | struggle:1 | mental:1 | health:1 | barriers:1 | rural:1 | low:1 | socioeconomic:1 | standing:1 | makes:1 | difficult:1 | engage:1 | counseling:1 | consistently:1,wanted consistency:1 | consistency across:1 | across supervisors:1 | like agencies:1 | agencies clients:1 | clients struggle:1 | struggle mental:1 | mental health:1 | health barriers:1 | barriers rural:1 | rural low:1 | low socioeconomic:1 | socioeconomic standing:1 | standing makes:1 | makes difficult:1,3.0,3.33,3.0,2.33,2.0,3.33,3.0,3.0,3.33,2.67,3.0,2.33,3.33,4.33,0.5006,0.0466,0.5221,88.69,92.38,94.31,91.88,93.19,92.71,91.92,92.89,89.51
slo recovery center,Slo Recovery Center,3,sufficient,3.13,2.0,declining,21.3,0.33,0.3033,91.0,3,review recommended,no flag,0.5436,0.2824,33.3,0.0,33.3,33.3,33.3,66.7,0.0,33.3,100.0,33.3,33.3,0.0,appreciated:1 | included:1 | community:1 | assessments:1 | data:1 | tracking:1 | instead:1 | observing:1 | gave:1 | better:1 | sense:1 | macro:1 | practice:1 | honestly:1 | biggest:1 | help:1 | work:1 | safety:1 | planning:1 | case:1,appreciated included:1 | included community:1 | community assessments:1 | assessments data:1 | data tracking:1 | tracking instead:1 | observing gave:1 | gave better:1 | better sense:1 | sense macro:1 | macro practice:1 | honestly biggest:1 | help work:1 | work safety:1 | safety planning:1,honestly:2 | needed:2 | hardest:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | hard:1 | grow:1 | structure:1 | loose:1 | frustration:1 | shadowing:1 | chances:1 | try:1 | skills:1 | patients:1 | stay:1 | months:1,honestly hardest:1 | hardest needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | tasks hard:1 | hard grow:1 | grow structure:1 | structure loose:1 | honestly frustration:1 | frustration shadowing:1 | shadowing needed:1 | patients stay:1 | stay months:1,3.0,3.67,3.67,3.67,4.0,3.67,3.33,3.33,3.33,3.0,3.33,3.0,3.33,3.0,0.1082,0.5337,0.0488,85.83,92.71,91.14,93.49,88.92,89.74,94.0,92.43,90.73
riverwalk crisis receiving center,Riverwalk Crisis Receiving Center,3,sufficient,3.2,2.6,declining,37.7,0.67,0.2915,91.53,3,review recommended,no flag,0.7638,-0.1594,33.3,0.0,0.0,66.7,33.3,66.7,0.0,0.0,33.3,0.0,33.3,0.0,plan:2 | work:2 | unfortunately:1 | budget:1 | created:1 | riverwalk:1 | allowed:1 | reviewed:1 | supervisors:1 | closing:1 | announcement:1 | happened:1 | opportunity:1 | share:1 | potential:1 | alternartives:1 | research:1 | creation:1 | shadowing:1 | creating:1,unfortunately budget:1 | budget plan:1 | plan created:1 | created riverwalk:1 | riverwalk allowed:1 | allowed reviewed:1 | reviewed supervisors:1 | supervisors closing:1 | closing announcement:1 | announcement happened:1 | happened opportunity:1 | opportunity share:1 | share potential:1 | potential alternartives:1 | alternartives research:1,admin:2 | work:2 | enough:2 | hands:2 | practice:2 | typical:1 | challenges:1 | associated:1 | current:1 | behavioral:1 | health:1 | system:1 | tied:1 | limited:1 | funding:1 | hardest:1,admin work:2 | typical challenges:1 | challenges associated:1 | associated current:1 | current behavioral:1 | behavioral health:1 | health system:1 | system tied:1 | tied limited:1 | limited funding:1 | hardest admin:1,3.67,3.67,3.67,3.67,3.67,3.67,3.33,3.67,3.0,2.33,2.33,3.67,4.0,3.67,0.128,0.3502,0.3748,88.63,93.44,91.09,90.1,92.37,93.54,95.29,89.07,90.3
friends of the children montana,Friends Of The Children Montana,6,sufficient,3.27,3.53,stable,18.7,0.5,0.2673,89.8,3,review recommended,no flag,0.5017,-0.0667,33.3,0.0,33.3,25.0,33.3,75.0,0.0,0.0,33.3,50.0,33.3,0.0,appreciated:4 | case:3 | management:3 | included:2 | instead:2 | observing:2 | honestly:2 | weekly:2 | planning:2 | documentation:1 | peer:1 | coordination:1 | community:1 | referrals:1 | intakes:1 | work:1 | advocacy:1 | connect:1 | class:1 | content:1,appreciated included:2 | case management:2 | honestly appreciated:2 | included documentation:1 | documentation peer:1 | peer coordination:1 | coordination instead:1 | included community:1 | community referrals:1 | referrals intakes:1 | intakes case:1 | management instead:1 | appreciated work:1 | work advocacy:1 | advocacy case:1,needed:3 | hardest:2 | week:2 | shadowing:2 | chances:2 | try:2 | skills:2 | frustration:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | role:1 | changed:1 | slowed:1 | down:1 | learning:1,shadowing needed:2 | frustration needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | hardest role:1 | role changed:1 | changed week:1 | week week:1 | hardest shadowing:1 | skills slowed:1 | slowed down:1 | down learning:1,3.5,3.67,3.33,3.5,3.33,3.33,3.67,2.83,3.5,2.67,3.5,3.33,3.5,3.33,0.3824,0.251,0.2681,89.19,91.12,85.89,89.53,87.03,90.24,94.06,88.15,93.06
gallatin high school,Gallatin High School,3,sufficient,3.33,3.1,stable,14.7,0.67,0.1866,86.3,3,review recommended,no flag,0.2737,-0.1258,0.0,0.0,0.0,50.0,0.0,100.0,33.3,0.0,33.3,50.0,0.0,0.0,appreciated:1 | brought:1 | committees:1 | instead:1 | doing:1 | support:1 | tasks:1 | floor:1 | having:1 | chances:1 | sit:1 | sessions:1 | team:1 | meetings:1 | helped:1 | everything:1 | click:1 | unstructured:1,appreciated brought:1 | brought committees:1 | committees instead:1 | instead doing:1 | doing support:1 | support tasks:1 | having chances:1 | chances sit:1 | sit sessions:1 | sessions team:1 | team meetings:1 | meetings helped:1 | helped everything:1 | everything click:1 | click unstructured:1,shadowing:2 | frustration:1 | needed:1 | chances:1 | try:1 | skills:1 | wanted:1 | client:1 | contact:1 | less:1,frustration shadowing:1 | shadowing needed:1 | wanted client:1 | client contact:1 | contact less:1 | less shadowing:1,4.33,3.33,3.67,4.67,3.0,3.67,3.67,4.33,3.0,3.33,3.33,3.67,3.67,2.67,-0.0423,0.2108,0.6168,85.27,86.5,83.16,88.57,80.37,83.88,91.59,87.38,89.97
southwest montana community health center,Southwest Montana Community Health Center,5,sufficient,3.36,3.8,improving,22.8,0.6,0.25,89.55,3,review recommended,no flag,0.5541,-0.0856,0.0,40.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,60.0,0.0,helped:4 | community:3 | team:2 | understand:2 | systems:2 | care:2 | practice:2 | coordination:2 | seeing:2 | working:1 | interdisciplinary:1 | social:1 | work:1 | communicates:1 | within:1 | larger:1 | opportunities:1 | observe:1 | clinical:1 | warm:1,helped understand:2 | working interdisciplinary:1 | interdisciplinary team:1 | team helped:1 | understand social:1 | social work:1 | work communicates:1 | communicates within:1 | within larger:1 | larger systems:1 | systems care:1 | opportunities observe:1 | observe clinical:1 | clinical practice:1 | practice warm:1,within:2 | inconsistent:1 | scheduling:1 | meetings:1 | school:1 | events:1 | medical:1 | system:1 | hard:1 | work:1 | behavioral:1 | health:1 | priority:1 | clinic:1 | hardest:1 | check:1 | ins:1 | steady:1 | enough:1 | amount:1,inconsistent scheduling:1 | scheduling meetings:1 | meetings school:1 | school events:1 | medical system:1 | system hard:1 | hard work:1 | work within:1 | within behavioral:1 | behavioral health:1 | health priority:1 | priority within:1 | within clinic:1 | hardest check:1 | check ins:1,4.0,3.8,3.2,3.6,3.4,2.8,3.6,4.2,3.0,3.2,4.0,3.0,3.6,3.0,0.1191,0.3404,0.3221,88.18,91.29,88.99,86.99,87.66,90.96,92.02,88.75,91.12
montana innocence project,Montana Innocence Project,14,sufficient,3.4,3.05,declining,24.4,0.5,0.2824,88.59,3,review recommended,no flag,0.5294,-0.0893,21.4,0.0,14.3,15.4,7.1,46.2,7.1,15.4,64.3,30.8,21.4,0.0,helped:7 | learning:3 | clients:3 | learned:3 | practice:3 | appreciated:3 | community:3 | work:3 | documentation:3 | planning:3 | support:3 | placement:2 | exposure:2 | services:2 | working:2 | help:2 | legal:2 | issues:2 | partnerships:2 | build:2,community partnerships:2 | build confidence:2 | committee meetings:2 | strengthened understanding:2 | understanding generalist:2 | generalist practice:2 | practice across:2 | across systems:2 | placement gave:1 | gave useful:1 | useful exposure:1 | exposure client:1 | client sessions:1 | sessions intakes:1 | learning research:1,frustration:3 | needed:3 | wasn:3 | admin:2 | tasks:2 | think:2 | work:2 | practice:2 | shadowing:2 | chances:2 | try:2 | skills:2 | social:2 | lack:1 | programming:1 | clients:1 | first:1 | weeks:1 | unstructured:1 | enough:1,shadowing needed:2 | wasn social:2 | admin tasks:1 | lack programming:1 | programming clients:1 | first weeks:1 | weeks unstructured:1 | frustration admin:1 | admin work:1 | practice hard:1 | hard grow:1 | grow structure:1 | structure loose:1 | hardest shadowing:1 | trying build:1,3.29,3.57,3.57,3.36,3.43,3.36,3.43,3.43,3.71,3.36,3.5,3.07,3.64,3.43,0.2648,0.3765,0.3308,88.35,89.5,87.44,88.35,86.9,88.05,90.41,89.95,88.35
salem keizer school district,Salem Keizer School District,6,sufficient,3.43,1.2,declining,24.7,0.5,0.2834,89.2,3,review recommended,no flag,0.4445,-0.0892,0.0,0.0,16.7,0.0,16.7,66.7,0.0,0.0,50.0,83.3,16.7,0.0,social:4 | helped:2 | work:2 | crisis:2 | support:2 | team:2 | school:2 | learning:1 | documentation:1 | standards:1 | understand:1 | accountability:1 | continuity:1 | care:1 | professional:1 | communication:1 | biggest:1 | help:1 | resource:1 | referrals:1,school social:2 | learning documentation:1 | documentation standards:1 | standards helped:1 | helped understand:1 | understand accountability:1 | accountability continuity:1 | continuity care:1 | care professional:1 | professional communication:1 | help work:1 | work resource:1 | resource referrals:1 | referrals crisis:1 | crisis support:1,paperwork:4 | learning:2 | went:2 | instead:2 | actual:2 | practice:2 | pace:1 | unit:1 | difficult:1 | slow:1 | down:1 | process:1 | shadowing:1 | needed:1 | chances:1 | try:1 | skills:1 | frustration:1 | practicum:1 | reactive:1,went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | pace unit:1 | unit difficult:1 | difficult slow:1 | slow down:1 | down process:1 | process learning:1 | shadowing needed:1 | frustration went:1 | practice practicum:1 | practicum reactive:1 | reactive than:1,3.5,3.33,3.83,3.83,3.67,3.17,3.67,3.33,2.83,3.5,3.5,3.33,3.67,3.17,0.6375,0.3232,0.1012,87.74,91.17,89.22,88.11,87.46,90.36,93.29,86.95,88.49
sheridan memorial hospital,Sheridan Memorial Hospital,5,sufficient,3.44,3.1,declining,17.0,0.6,0.2195,89.83,3,review recommended,no flag,0.3096,0.009,20.0,25.0,0.0,50.0,0.0,25.0,20.0,25.0,40.0,0.0,0.0,0.0,chart:2 | review:2 | meetings:2 | parts:1 | placement:1 | communication:1 | usually:1 | fine:1 | stretches:1 | little:1 | feedback:1 | helped:1 | work:1 | discharge:1 | planning:1 | connect:1 | class:1 | content:1 | practice:1 | issues:1,chart review:2 | parts placement:1 | placement communication:1 | communication usually:1 | usually fine:1 | fine stretches:1 | stretches little:1 | little feedback:1 | helped work:1 | work chart:1 | review discharge:1 | discharge planning:1 | planning connect:1 | connect class:1 | class content:1,wanted:2 | direct:2 | practice:2 | instead:2 | mostly:2 | observation:2 | enough:1 | check:1 | ins:1 | slow:1 | periods:1 | fewer:1 | tasks:1 | hardest:1 | clerical:1 | work:1 | like:1 | scheduling:1 | appointments:1 | patients:1,wanted direct:2 | direct practice:2 | practice instead:2 | instead mostly:2 | mostly observation:2 | enough check:1 | check ins:1 | ins slow:1 | slow periods:1 | periods fewer:1 | fewer tasks:1 | hardest wanted:1 | clerical work:1 | work like:1 | like scheduling:1,3.4,3.8,3.6,3.4,3.6,3.6,3.8,4.0,3.8,3.0,3.6,3.6,3.2,3.8,0.3992,0.2232,0.1564,87.97,89.46,88.39,90.4,88.51,89.32,92.84,91.41,90.19
the parenting place,The Parenting Place,6,sufficient,3.44,2.3,declining,21.8,0.5,0.3644,89.79,3,review recommended,no flag,0.4821,0.0278,16.7,40.0,33.3,20.0,16.7,20.0,16.7,40.0,83.3,20.0,16.7,0.0,helped:4 | practice:4 | learning:3 | work:3 | support:2 | direct:2 | tasks:2 | wanted:2 | clearer:2 | issues:1 | site:1 | learned:1 | brief:1 | solution:1 | focused:1 | sessions:1 | attendance:1 | enough:1 | experience:1 | mostly:1,direct practice:2 | helped issues:1 | site learned:1 | learned brief:1 | brief solution:1 | solution focused:1 | focused sessions:1 | sessions attendance:1 | attendance support:1 | enough direct:1 | practice experience:1 | experience mostly:1 | mostly shadowed:1 | shadowed admin:1 | admin tasks:1,liked:2 | went:1 | paperwork:1 | instead:1 | actual:1 | practice:1 | inconsistent:1 | supervision:1 | slow:1 | periods:1 | fewer:1 | tasks:1 | heavy:1 | caseload:1 | harder:1 | receive:1 | feedback:1 | consistency:1 | early:1 | limited:1,went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | inconsistent supervision:1 | supervision slow:1 | slow periods:1 | periods fewer:1 | fewer tasks:1 | heavy caseload:1 | caseload harder:1 | harder receive:1 | receive feedback:1 | feedback liked:1 | liked consistency:1,3.5,3.83,3.67,3.83,4.0,3.5,3.33,3.67,3.33,3.5,3.17,3.67,3.67,3.17,0.3408,0.6206,0.3507,90.06,89.72,89.7,87.94,89.43,92.41,92.72,86.72,89.42
bozeman school district 7,Bozeman School District 7,11,sufficient,3.45,4.53,improving,29.5,0.55,0.3471,89.49,3,review recommended,no flag,0.5286,0.1207,45.5,10.0,36.4,20.0,9.1,40.0,36.4,30.0,27.3,10.0,18.2,10.0,staff:3 | guidance:3 | students:3 | systems:3 | work:3 | helped:3 | team:3 | approach:2 | real:2 | wanted:2 | seeing:2 | based:2 | practice:2 | setting:2 | support:2 | learning:2 | experience:2 | long:2 | understand:2 | planning:2,wanted guidance:2 | appreciated trauma:1 | trauma informed:1 | informed approach:1 | approach staff:1 | staff talked:1 | talked real:1 | real cases:1 | cases wanted:1 | seeing strengths:1 | strengths based:1 | based practice:1 | practice modeled:1 | modeled consistently:1 | meeting students:1,work:3 | wanted:2 | client:2 | contact:2 | shadowing:2 | paperwork:2 | first:2 | weeks:2 | unstructured:2 | needed:2 | students:2 | than:2 | long:2 | care:2 | term:2 | less:1 | times:1 | balance:1 | administrative:1 | navigating:1,client contact:2 | first weeks:2 | weeks unstructured:2 | wanted client:1 | contact less:1 | less shadowing:1 | paperwork times:1 | times wanted:1 | wanted balance:1 | balance administrative:1 | administrative work:1 | work client:1 | navigating logistical:1 | logistical challenges:1 | challenges job:1,3.55,3.73,3.73,3.27,3.64,3.64,3.64,4.0,3.64,3.55,3.45,3.27,3.55,3.45,0.1604,0.495,0.431,90.8,89.03,87.94,86.97,89.78,89.78,92.99,88.77,89.36
lynn rice therapy,Lynn Rice Therapy,5,sufficient,3.47,5.0,improving,17.2,0.6,0.2613,89.72,3,review recommended,no flag,0.2239,-0.2345,20.0,0.0,20.0,50.0,0.0,50.0,0.0,0.0,60.0,0.0,20.0,25.0,helped:3 | work:3 | intervention:2 | planning:2 | agency:1 | harm:1 | reduction:1 | approach:1 | understand:1 | client:1 | self:1 | determination:1 | realistic:1 | see:1 | assessment:1 | evaluation:1 | together:1 | documentation:1 | experience:1 | supervision:1,agency harm:1 | harm reduction:1 | reduction approach:1 | approach helped:1 | helped understand:1 | understand client:1 | client self:1 | self determination:1 | determination realistic:1 | realistic intervention:1 | intervention planning:1 | planning see:1 | see assessment:1 | assessment intervention:1 | intervention evaluation:1,work:3 | practice:3 | limited:2 | admin:2 | enough:2 | hands:2 | documentation:1 | burden:1 | heavy:1 | opportunities:1 | direct:1 | private:1 | diversity:1 | experience:1 | spent:1 | guessing:1 | doing:1,admin work:2 | documentation burden:1 | burden heavy:1 | heavy limited:1 | limited opportunities:1 | opportunities direct:1 | direct work:1 | private practice:1 | practice limited:1 | limited diversity:1 | diversity experience:1 | practice spent:1 | spent guessing:1 | guessing doing:1,3.2,3.8,4.0,3.6,3.2,3.2,3.8,3.2,3.6,2.75,3.4,3.2,3.8,4.2,0.3498,0.4567,0.5107,87.93,90.33,89.27,90.36,89.62,90.35,91.01,88.51,90.14
the salvation army,The Salvation Army,5,sufficient,3.48,3.27,stable,18.6,0.4,0.1952,89.19,3,review recommended,no flag,0.4404,-0.317,20.0,0.0,20.0,40.0,0.0,40.0,0.0,20.0,80.0,20.0,0.0,0.0,helped:3 | real:2 | work:2 | support:2 | build:2 | confidence:2 | supervision:1 | linked:1 | theory:1 | ethics:1 | case:1 | discussion:1 | reinforced:1 | person:1 | environment:1 | perspective:1 | say:1 | able:1 | practice:1 | interpersonal:1,helped build:2 | build confidence:2 | supervision linked:1 | linked theory:1 | theory ethics:1 | ethics real:1 | real case:1 | case discussion:1 | discussion reinforced:1 | reinforced person:1 | person environment:1 | environment perspective:1 | say able:1 | able practice:1 | practice interpersonal:1,practice:3 | admin:2 | work:2 | enough:2 | hands:2 | managing:1 | virtual:1 | platforms:1 | documentation:1 | across:1 | systems:1 | able:1 | professional:1 | skills:1 | amongst:1 | professionals:1 | conflict:1 | classes:1 | weekly:1 | meetings:1,admin work:2 | managing virtual:1 | virtual platforms:1 | platforms documentation:1 | documentation across:1 | across systems:1 | able practice:1 | practice professional:1 | professional skills:1 | skills amongst:1 | amongst professionals:1 | professionals conflict:1 | conflict classes:1 | classes weekly:1 | weekly meetings:1,3.2,3.6,3.6,3.4,3.0,2.8,3.8,3.0,3.2,3.2,3.6,3.0,3.8,3.8,0.4171,0.5793,-0.1437,89.59,90.83,86.6,88.72,90.14,89.49,91.19,88.93,87.25
valley cities behavioral health care,Valley Cities Behavioral Health Care,4,sufficient,2.5,,stable,28.2,0.75,0.2817,89.7,2,review recommended,no flag,0.5684,0.1404,25.0,50.0,0.0,50.0,0.0,25.0,50.0,50.0,75.0,50.0,0.0,0.0,learning:4 | work:3 | agreement:2 | practice:2 | tasks:2 | supervision:1 | inconsistent:1 | affected:1 | used:1 | wanted:1 | defined:1 | clearer:1 | goals:1 | flexibility:1 | given:1 | able:1 | within:1 | sud:1 | program:1 | allowed:1,learning agreement:2 | supervision inconsistent:1 | inconsistent affected:1 | affected learning:1 | learning learning:1 | agreement used:1 | used practice:1 | practice wanted:1 | wanted defined:1 | defined tasks:1 | tasks clearer:1 | clearer learning:1 | learning goals:1 | flexibility given:1 | given able:1,work:2 | full:2 | hardest:2 | practice:2 | inconsistent:1 | supervision:1 | onboarding:1 | process:1 | clearer:1 | inconsistency:1 | amount:1 | available:1 | due:1 | population:1 | working:1 | days:1 | shows:1 | others:1 | consistent:1 | appointments:1,inconsistent supervision:1 | supervision onboarding:1 | onboarding process:1 | process clearer:1 | inconsistency amount:1 | amount work:1 | work available:1 | available due:1 | due population:1 | population working:1 | working days:1 | days full:1 | full shows:1 | shows others:1 | others full:1,3.5,3.25,3.5,3.0,3.25,2.75,3.0,2.25,3.25,2.75,2.75,2.5,2.25,2.25,0.0914,0.298,0.3102,85.13,88.4,92.09,91.16,88.16,90.4,94.41,86.8,90.74
rimrock foundation,Rimrock Foundation,26,sufficient,2.69,2.8,stable,20.7,0.42,0.1919,89.38,2,review recommended,no flag,0.4933,-0.1163,34.6,20.8,19.2,29.2,11.5,33.3,19.2,20.8,57.7,33.3,23.1,4.2,appreciated:7 | helped:7 | learning:7 | learned:6 | supervision:6 | advocacy:6 | coordination:5 | practice:5 | work:5 | resource:4 | support:3 | opportunities:3 | experience:3 | actually:3 | happened:3 | schedule:3 | included:3 | instead:3 | observing:3 | role:3,learned supervision:3 | supervision actually:3 | actually happened:3 | happened schedule:3 | weekly supervision:3 | direct practice:2 | helped build:2 | build confidence:2 | good learning:2 | learning opportunities:2 | opportunities experience:2 | experience uneven:2 | service coordination:2 | data tracking:2 | learning agreement:2,practice:6 | work:6 | instead:5 | enough:5 | frustration:4 | wanted:4 | direct:4 | mostly:4 | observation:4 | needed:4 | skills:4 | admin:3 | shadowing:3 | chances:3 | try:3 | learning:3 | clearer:3 | check:2 | ins:2 | client:2,wanted direct:4 | direct practice:4 | practice instead:4 | instead mostly:4 | mostly observation:4 | admin work:3 | shadowing needed:3 | frustration wanted:2 | enough check:2 | check ins:2 | client contact:2 | observation hard:2 | hard grow:2 | grow structure:2 | structure loose:2,3.27,3.19,3.27,2.96,2.96,3.15,3.12,3.19,2.96,2.81,2.77,2.58,2.73,2.58,0.0099,0.3719,0.2005,88.77,89.08,89.32,88.45,87.95,90.57,92.7,88.47,89.11
trotting horse therapeutic riding,Trotting Horse Therapeutic Riding,4,sufficient,2.8,1.0,declining,16.2,0.25,0.29,90.38,2,review recommended,no flag,0.4596,-0.0134,0.0,0.0,25.0,50.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,appreciated:1 | issues:1 | site:1 | learned:1 | documentation:1 | group:1 | activities:1 | life:1 | skills:1 | coaching:1 | best:1 | exposure:1 | referrals:1 | working:1 | staff:1 | willing:1 | answer:1 | questions:1 | person:1 | experience:1,appreciated issues:1 | site learned:1 | learned documentation:1 | documentation group:1 | group activities:1 | activities life:1 | life skills:1 | skills coaching:1 | best exposure:1 | exposure referrals:1 | referrals working:1 | working staff:1 | staff willing:1 | willing answer:1 | answer questions:1,wanted:2 | practice:2 | hardest:1 | direct:1 | instead:1 | mostly:1 | observation:1 | practicum:1 | reactive:1 | than:1 | educational:1 | chances:1 | independently:1 | first:1 | student:1 | needed:1 | client:1 | contact:1 | fewer:1 | office:1,hardest wanted:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | observation practicum:1 | practicum reactive:1 | reactive than:1 | than educational:1 | wanted chances:1 | chances practice:1 | practice independently:1 | first student:1 | client contact:1,3.0,3.25,3.25,2.75,3.25,2.75,2.75,2.5,2.0,2.0,2.5,2.5,3.25,3.75,0.4506,0.365,0.1882,86.76,90.67,89.69,92.59,88.92,88.42,92.91,92.35,91.14
germane and wise mental health consulting,Germane And Wise Mental Health Consulting,6,sufficient,2.94,2.6,declining,38.3,0.17,0.2819,88.64,2,review recommended,no flag,0.5071,-0.0679,50.0,16.7,50.0,50.0,33.3,33.3,16.7,16.7,83.3,50.0,0.0,0.0,work:5 | helped:4 | intervention:3 | resource:2 | navigation:2 | support:2 | build:2 | medical:2 | social:2 | assessment:2 | together:2 | help:2 | found:2 | able:2 | discussing:2 | enough:2 | skills:2 | wanted:2 | direct:2 | practice:2,medical social:2 | social work:2 | assessment intervention:2 | direct practice:2 | helped issues:1 | site learned:1 | learned case:1 | case management:1 | management resource:1 | resource navigation:1 | navigation housing:1 | housing search:1 | search support:1 | helped work:1 | work care:1,limited:3 | direct:2 | practice:2 | mostly:2 | shadowing:2 | skills:2 | opportunities:2 | high:2 | caseload:2 | used:2 | having:2 | personable:2 | over:2 | wanted:1 | instead:1 | observation:1 | needed:1 | chances:1 | try:1 | follow:1,direct practice:2 | high caseload:2 | wanted direct:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | shadowing needed:1 | follow opportunities:1 | opportunities limited:1 | limited harder:1 | harder evaluate:1 | evaluate outcomes:1 | educational probably:1 | probably high:1 | caseload used:1,2.17,3.5,2.67,2.83,3.17,3.33,3.0,2.5,2.33,2.67,2.67,2.67,3.0,3.67,0.2124,0.63,0.1278,90.0,90.18,85.46,87.82,87.07,88.93,90.98,87.24,90.09
